Song,Artist,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,dataset,kmeans,dbscan
Vampire,Olivia Rodrigo,4sSKTQcX6pQIncWcNJdkiD,0.675,0.609,1,-7.905,1,0.094,0.284,0.268,0.112,0.057,119.973,Hot,5,0
Last Night,Morgan Wallen,59uQI0PADDKeE6UZDTJEe8,0.517,0.675,6,-5.382,1,0.0357,0.459,0.0,0.151,0.518,203.853,Hot,7,0
Fast Car,Luke Combs,1Lo0QY9cvc8sUB2vnIOxDT,0.712,0.603,8,-5.52,1,0.0262,0.186,0.0,0.115,0.67,97.994,Hot,2,0
Calm Down,Rema & Selena Gomez,0WtM2NBVQNNJLh6scP13H8,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,Hot,2,0
Flowers,Miley Cyrus,3MnewZrZDqej6thgEx3OB1,0.672,0.159,9,-8.76,0,0.0343,0.962,1.83e-05,0.106,0.117,113.218,Hot,6,0
All My Life,Lil Durk Featuring J. Cole,6HgWWaMu31KdOpEG5l28BG,0.829,0.436,3,-8.205,1,0.327,0.15,0.0,0.0954,0.693,143.031,Hot,2,0
Cruel Summer,Taylor Swift,2EGaDf0cPX789H3LNeB03D,0.666,0.871,1,-6.017,0,0.0272,0.27,0.0208,0.263,0.936,108.501,Hot,3,0
Fukumean,Gunna,4rXLjWdF2ZZpXCVTfWcshS,0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,Hot,3,0
Karma,Taylor Swift Featuring Ice Spice,0ZxhtATQ0a6EvQNZ0z6NKV,0.898,0.676,9,-5.196,1,0.187,0.14,0.0,0.101,0.742,147.991,Hot,2,0
Favorite Song,Toosii,1SRw5p2lVAi7RGlHEmZg66,0.816,0.367,2,-9.354,1,0.0588,0.314,0.0,0.0987,0.413,116.035,Hot,2,0
Flooded The Face,Lil Uzi Vert,4daEMLSZCgZ2Mt7gNm2SRa,0.64,0.609,1,-7.714,0,0.304,0.492,2.47e-06,0.152,0.393,131.889,Hot,3,0
Kill Bill,SZA,0CrcwVLUe8wzLUIXgjXVZJ,0.629,0.744,5,-6.124,0,0.0409,0.0769,0.247,0.194,0.451,89.021,Hot,3,0
Snooze,SZA,4iZ4pt7kvcaH6Yo8UoZ4s2,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,Hot,7,0
Creepin',"Metro Boomin, The Weeknd & 21 Savage",2dHHgzDwk4BJdRwy9uXhTO,0.715,0.62,1,-6.005,0,0.0484,0.417,0.0,0.0822,0.172,97.95,Hot,3,0
Ella Baila Sola,Eslabon Armado X Peso Pluma,3qQbCzHBycnDpGskqOWY0E,0.668,0.758,5,-5.176,0,0.0332,0.483,1.89e-05,0.0837,0.834,147.989,Hot,3,0
Sure Thing,Miguel,559SdaPI7mqy9IQiscuaMj,0.753,0.458,4,-12.52,0,0.123,0.0812,0.00413,0.209,0.662,105.057,Hot,3,0
Need A Favor,Jelly Roll,5twSy6ffBrF03mnNUsUgJZ,0.504,0.771,6,-4.231,1,0.0319,0.0123,1.89e-05,0.078,0.555,157.985,Hot,7,0
Anti-Hero,Taylor Swift,0V3wPSX9ygBnCm8psDIegu,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,Hot,2,0
Something In The Orange,Zach Bryan,7lNmcW2wW6ciV9Rhh8YOMe,0.594,0.382,7,-5.432,1,0.0292,0.416,0.0,0.117,0.223,110.237,Hot,6,0
Endless Fashion,Lil Uzi Vert Featuring Nicki Minaj,41bmnQZoDMQdDh5zyomtW7,0.731,0.605,1,-5.01,1,0.19,0.067,7.7e-06,0.177,0.413,132.946,Hot,2,0
You Proof,Morgan Wallen,5W4kiM2cUYBJXKRudNyxjW,0.732,0.839,9,-5.007,1,0.0345,0.265,0.0,0.602,0.629,119.724,Hot,0,0
Die For You,The Weeknd & Ariana Grande,7oDd86yk8itslrA9HRP2ki,0.531,0.525,1,-6.5,0,0.0671,0.232,0.0,0.441,0.502,66.9,Hot,3,0
Thinkin' Bout Me,Morgan Wallen,0PAcdVzhPO4gq1Iym9ESnK,0.656,0.757,3,-5.775,0,0.0308,0.492,0.0,0.117,0.429,139.971,Hot,3,0
